## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Wed Apr  1 17:36:04 2020
## Using datasource: dbi:Pg:dbname=fb_2020_02_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
Dpse\GA14372	Dpse	FBgn0074400		GA14372	
Dpse\GA14374	Dpse	FBgn0074402		GA14374	
Dpse\GA11303	Dpse	FBgn0071357		GA11303	
Dpse\GA10509	Dpse	FBgn0070566		GA10509	
Dpse\GA26179	Dpse	FBgn0247555	FBgn0073222	GA26179	GA13185
Dpse\GA15759	Dpse	FBgn0075776		GA15759	
Dpse\GA19783	Dpse	FBgn0079779		GA19783	
Dpse\GA19758	Dpse	FBgn0079754		GA19758	
Dpse\GA18564	Dpse	FBgn0064425		GA18564	CG4973
Dpse\GA19731	Dpse	FBgn0079727		GA19731	
Dpse\GA26180	Dpse	FBgn0247556	FBgn0073222	GA26180	GA13185
Dpse\GA19723	Dpse	FBgn0079719		GA19723	
Dpse\GA19694	Dpse	FBgn0079690		GA19694	
Dpse\GA13183	Dpse	FBgn0073220		GA13183	
Dpse\GA26181	Dpse	FBgn0247557		GA26181	
Dpse\GA19541	Dpse	FBgn0079537		GA19541	
Dpse\GA13303	Dpse	FBgn0073340		GA13303	
Dpse\GA26190	Dpse	FBgn0247565		GA26190	
Dpse\GA19641	Dpse	FBgn0079637		GA19641	
Dpse\GA18407	Dpse	FBgn0078409		GA18407	
Dpse\GA26184	Dpse	FBgn0247560		GA26184	
Dpse\GA26185	Dpse	FBgn0247561		GA26185	
Dpse\hb	Dpse	FBgn0062741		GA22036	hb
Dpse\GA18473	Dpse	FBgn0078475		GA18473	
Dpse\GA11305	Dpse	FBgn0071359		GA11305	
Dpse\GA26195	Dpse	FBgn0247570		GA26195	
Dpse\GA18481	Dpse	FBgn0078483		GA18481	
Dpse\GA18538	Dpse	FBgn0078540		GA18538	
Dpse\Indy-2	Dpse	FBgn0064420		GA26188	
Dpse\GA16195	Dpse	FBgn0076211		GA16195	
Dpse\GA18602	Dpse	FBgn0078603		GA18602	
Dpse\GA11274	Dpse	FBgn0071328		GA11274	
Dpse\GA26193	Dpse	FBgn0247568		GA26193	
Dpse\GA18674	Dpse	FBgn0078674		GA18674	
Dpse\GA11310	Dpse	FBgn0071364		GA11310	
Dpse\GA11312	Dpse	FBgn0071366		GA11312	
Dpse\GA16214	Dpse	FBgn0076230		GA16214	
Dpse\GA17933	Dpse	FBgn0077942		GA17933	
Dpse\GA10891	Dpse	FBgn0070947		GA10891	
Dpse\GA11316	Dpse	FBgn0071370		GA11316	
Dpse\GA11318	Dpse	FBgn0071372		GA11318	
Dpse\GA22058	Dpse	FBgn0082042		GA22058	
Dpse\GA11523	Dpse	FBgn0071574		GA11523	
Dsim\tRNA:GD26428	Dsim	FBgn0256279		GD26428	
Dpse\GA17907	Dpse	FBgn0077916		GA17907	
Dpse\GA12199	Dpse	FBgn0072246		GA12199	
Dpse\GA11186	Dpse	FBgn0071241		GA11186	
Dpse\GA22045	Dpse	FBgn0082029		GA22045	
Dpse\GA22043	Dpse	FBgn0082027		GA22043	
Dpse\GA22037	Dpse	FBgn0082021		GA22037	
Dpse\GA22025	Dpse	FBgn0082010		GA22025	
Dpse\GA15482	Dpse	FBgn0075499		GA15482	
Dpse\GA26201	Dpse	FBgn0247576		GA26201	
Dpse\GA15535	Dpse	FBgn0075552		GA15535	
Dpse\GA15542	Dpse	FBgn0075559		GA15542	
Dpse\GA15564	Dpse	FBgn0075581		GA15564	
Dpse\GA15673	Dpse	FBgn0075690		GA15673	
Dpse\GA15062	Dpse	FBgn0075087		GA15062	
Dpse\GA26234	Dpse	FBgn0247608		GA26234	
Dpse\GA15064	Dpse	FBgn0075089		GA15064	
Dpse\GA15065	Dpse	FBgn0075090		GA15065	
Dpse\GA15494	Dpse	FBgn0075511		GA15494	
Dpse\GA26209	Dpse	FBgn0247584		GA26209	
Dpse\GA11564	Dpse	FBgn0071615		GA11564	
Dpse\GA13105	Dpse	FBgn0073143		GA13105	
Dpse\GA26213	Dpse	FBgn0247588		GA26213	
Dpse\GA10578	Dpse	FBgn0070635		GA10578	
Dpse\GA26221	Dpse	FBgn0247596		GA26221	
Dpse\GA10768	Dpse	FBgn0070824		GA10768	
Dpse\GA21424	Dpse	FBgn0081411		GA21424	
Dpse\GA11871	Dpse	FBgn0071920		GA11871	
Dpse\GA18391	Dpse	FBgn0078393		GA18391	
Dpse\GA10886	Dpse	FBgn0070942		GA10886	
Dpse\GA10907	Dpse	FBgn0070963		GA10907	
Dpse\GA26220	Dpse	FBgn0247595		GA26220	
Dpse\Gld	Dpse	FBgn0012699		GA11047	Gld
Dpse\GA15089	Dpse	FBgn0075114		GA15089	
Dpse\GA16051	Dpse	FBgn0076067	FBgn0064434	GA16051	CG31155
Dpse\GA10038	Dpse	FBgn0070097		GA10038	
Dpse\GA26222	Dpse	FBgn0247597		GA26222	
Dpse\GA10046	Dpse	FBgn0070105		GA10046	
Dpse\GA26224	Dpse	FBgn0247599		GA26224	
Dpse\GA21414	Dpse	FBgn0081401		GA21414	
Dpse\GA11008	Dpse	FBgn0071064		GA11008	
Dpse\GA18356	Dpse	FBgn0064426		GA18356	CG4686
Dpse\Arc42	Dpse	FBgn0064447		GA18369	Arc42
Dpse\GA26235	Dpse	FBgn0247609		GA26235	
Dpse\GA18816	Dpse	FBgn0078816		GA18816	
Dpse\GA26230	Dpse	FBgn0247604		GA26230	
Dpse\GA18570	Dpse	FBgn0078571		GA18570	
Dpse\GA17817	Dpse	FBgn0077826		GA17817	
Dpse\GA26232	Dpse	FBgn0247606		GA26232	
Dpse\GA10203	Dpse	FBgn0070262		GA10203	
Dpse\GA18583	Dpse	FBgn0078584		GA18583	
Dpse\GA17848	Dpse	FBgn0077857		GA17848	
Dpse\GA10756	Dpse	FBgn0070812		GA10756	
Dpse\GA18102	Dpse	FBgn0078110		GA18102	
Dpse\GA19226	Dpse	FBgn0079223		GA19226	
Dpse\GA10213	Dpse	FBgn0070272		GA10213	
Dpse\GA19337	Dpse	FBgn0079334		GA19337	
Dpse\GA16149	Dpse	FBgn0076165		GA16149	
Dpse\GA10753	Dpse	FBgn0070809		GA10753	
Dpse\GA13205	Dpse	FBgn0073242		GA13205	
Dpse\GA18817	Dpse	FBgn0078817		GA18817	
Dpse\GA20308	Dpse	FBgn0080303		GA20308	
Dpse\GA20346	Dpse	FBgn0080341		GA20346	
Dpse\GA11562	Dpse	FBgn0071613		GA11562	
Dpse\GA26236	Dpse	FBgn0247610		GA26236	
Dpse\GA26289	Dpse	FBgn0247663		GA26289	
Dpse\GA26259	Dpse	FBgn0247633		GA26259	
Dpse\GA26260	Dpse	FBgn0247634		GA26260	
Dpse\GA20219	Dpse	FBgn0080214		GA20219	
Dpse\GA20125	Dpse	FBgn0080121		GA20125	
Dpse\GA13198	Dpse	FBgn0073235		GA13198	
Dpse\GA13202	Dpse	FBgn0073239		GA13202	
Dpse\GA11710	Dpse	FBgn0071760		GA11710	
Dpse\GA26243	Dpse	FBgn0247617		GA26243	
Dpse\GA26238	Dpse	FBgn0247612		GA26238	
Dpse\GA26239	Dpse	FBgn0247613	FBgn0078937,FBgn0081813	GA26239	GA18938,GA21828
Dpse\GA16302	Dpse	FBgn0076318		GA16302	
Dpse\GA26244	Dpse	FBgn0247618		GA26244	
Dpse\GA26240	Dpse	FBgn0247614		GA26240	
Dpse\GA26241	Dpse	FBgn0247615		GA26241	
Dpse\GA26242	Dpse	FBgn0247616	FBgn0070794	GA26242	GA10738
Dpse\GA13190	Dpse	FBgn0073227		GA13190	
Dpse\GA16219	Dpse	FBgn0076235		GA16219	
Dpse\GA26269	Dpse	FBgn0247643		GA26269	
Dpse\GA19140	Dpse	FBgn0079137		GA19140	
Dpse\GA26251	Dpse	FBgn0247625	FBgn0074476	GA26251	GA14448
Dpse\GA19827	Dpse	FBgn0079823		GA19827	
Dpse\GA21790	Dpse	FBgn0081775		GA21790	
Dpse\GA26262	Dpse	FBgn0247636		GA26262	
Dpse\GA26255	Dpse	FBgn0247629		GA26255	
Dpse\GA26261	Dpse	FBgn0247635		GA26261	
Dpse\GA26266	Dpse	FBgn0247640		GA26266	
Dpse\GA26267	Dpse	FBgn0247641		GA26267	
Dpse\Dsk	Dpse	FBgn0074814		GA14787	Dsk
Dpse\GA26288	Dpse	FBgn0247662		GA26288	
Dpse\GA17400	Dpse	FBgn0077413		GA17400	
Dpse\GA26252	Dpse	FBgn0247626		GA26252	
Dpse\GA13206	Dpse	FBgn0073243		GA13206	CG14724
Dpse\GA11701	Dpse	FBgn0071751		GA11701	
Dpse\GA26271	Dpse	FBgn0247645		GA26271	
Dpse\GA11702	Dpse	FBgn0071752		GA11702	
Dpse\GA26309	Dpse	FBgn0247683		GA26309	
Dpse\GA26310	Dpse	FBgn0247684	FBgn0072948	GA26310	GA12910
Dpse\GA10732	Dpse	FBgn0070788		GA10732	
Dpse\GA26272	Dpse	FBgn0247646		GA26272	
Dpse\GA13139	Dpse	FBgn0073176		GA13139	
Dpse\GA13647	Dpse	FBgn0073683		GA13647	
Dpse\GA22038	Dpse	FBgn0082022		GA22038	
Dpse\GA22041	Dpse	FBgn0082025		GA22041	
Dpse\GA13143	Dpse	FBgn0073180		GA13143	
Dpse\GA10716	Dpse	FBgn0070772		GA10716	
Dpse\GA10367	Dpse	FBgn0070424		GA10367	
Dpse\GA13144	Dpse	FBgn0073181		GA13144	
Dpse\GA13145	Dpse	FBgn0073182		GA13145	
Dpse\GA26296	Dpse	FBgn0247670		GA26296	
Dpse\GA20501	Dpse	FBgn0080495		GA20501	
Dpse\GA16300	Dpse	FBgn0076316		GA16300	
Dpse\GA13147	Dpse	FBgn0073184		GA13147	
Dpse\GA26284	Dpse	FBgn0247658		GA26284	
Dpse\GA21749	Dpse	FBgn0081734		GA21749	
Dpse\GA15437	Dpse	FBgn0075454		GA15437	
Dpse\GA26286	Dpse	FBgn0247660		GA26286	
Dpse\GA10628	Dpse	FBgn0070684		GA10628	
Dpse\GA26320	Dpse	FBgn0247694		GA26320	
Dpse\GA26287	Dpse	FBgn0247661		GA26287	
Dpse\GA11079	Dpse	FBgn0071134		GA11079	
Dpse\GA16066	Dpse	FBgn0076082		GA16066	
Dpse\GA26294	Dpse	FBgn0247668		GA26294	
Dpse\GA26311	Dpse	FBgn0247685	FBgn0072948	GA26311	GA12910
Dpse\GA26312	Dpse	FBgn0247686		GA26312	
Dpse\GA18623	Dpse	FBgn0078623		GA18623	
Dpse\GA26315	Dpse	FBgn0247689		GA26315	
Dpse\GA26328	Dpse	FBgn0247702		GA26328	
Dpse\GA26300	Dpse	FBgn0247674	FBgn0074180	GA26300	GA14151
Dpse\GA26301	Dpse	FBgn0247675		GA26301	
Dpse\GA21755	Dpse	FBgn0081740		GA21755	
Dpse\GA19532	Dpse	FBgn0079528		GA19532	
Dpse\GA26304	Dpse	FBgn0247678		GA26304	
Dpse\GA26306	Dpse	FBgn0247680		GA26306	
Dpse\GA20487	Dpse	FBgn0080482		GA20487	
Dpse\GA26308	Dpse	FBgn0247682		GA26308	
Dpse\GA16258	Dpse	FBgn0076274		GA16258	
Dpse\GA26334	Dpse	FBgn0247708		GA26334	
Dpse\GA26316	Dpse	FBgn0247690		GA26316	
Dpse\GA11654	Dpse	FBgn0071704		GA11654	
Dpse\GA26318	Dpse	FBgn0247692		GA26318	
Dpse\GA10627	Dpse	FBgn0070683		GA10627	
Dpse\GA10003	Dpse	FBgn0070062		GA10003	
Dpse\GA13318	Dpse	FBgn0073355		GA13318	
Dpse\GA26321	Dpse	FBgn0247695		GA26321	
Dpse\GA26325	Dpse	FBgn0247699		GA26325	
Dpse\GA19207	Dpse	FBgn0079204		GA19207	
Dpse\GA16265	Dpse	FBgn0076281		GA16265	
Dpse\GA14492	Dpse	FBgn0074520		GA14492	
Dpse\GA13648	Dpse	FBgn0073684		GA13648	
Dpse\GA21026	Dpse	FBgn0081015		GA21026	
Dpse\GA26357	Dpse	FBgn0247731	FBgn0073196,FBgn0071195	GA26357	GA13159,GA11140
Dpse\GA14985	Dpse	FBgn0075010		GA14985	
Dpse\GA20031	Dpse	FBgn0080027		GA20031	
Dpse\GA17156	Dpse	FBgn0077170		GA17156	
Dpse\GA18463	Dpse	FBgn0078465		GA18463	
Dpse\GA26338	Dpse	FBgn0247712		GA26338	
Dpse\GA10028	Dpse	FBgn0070087		GA10028	
Dpse\GA12483	Dpse	FBgn0072529		GA12483	
Dpse\GA26358	Dpse	FBgn0247732	FBgn0071195	GA26358	GA11140
Dpse\GA26335	Dpse	FBgn0247709		GA26335	
Dpse\GA14593	Dpse	FBgn0074621		GA14593	
Dpse\GA11513	Dpse	FBgn0071564		GA11513	
Dpse\GA18485	Dpse	FBgn0078487		GA18485	
Dpse\GA26345	Dpse	FBgn0247719		GA26345	
Dpse\GA18476	Dpse	FBgn0078478		GA18476	
Dpse\GA18448	Dpse	FBgn0078450		GA18448	
Dpse\GA10069	Dpse	FBgn0070128		GA10069	
Dpse\GA18368	Dpse	FBgn0078372		GA18368	
Dpse\GA13214	Dpse	FBgn0073251		GA13214	
Dpse\GA26341	Dpse	FBgn0247715		GA26341	
Dpse\GA13211	Dpse	FBgn0073248		GA13211	
Dpse\GA26343	Dpse	FBgn0247717		GA26343	
Dpse\GA26344	Dpse	FBgn0247718		GA26344	
Dpse\GA20869	Dpse	FBgn0080859		GA20869	
Dpse\GA17404	Dpse	FBgn0077417		GA17404	
Dpse\GA17424	Dpse	FBgn0077437		GA17424	
Dsim\snoRNA:GD26461	Dsim	FBgn0256312		GD26461	
Dpse\GA11174	Dpse	FBgn0071229		GA11174	
Dpse\GA19879	Dpse	FBgn0079875		GA19879	
Dpse\GA19913	Dpse	FBgn0079909		GA19913	
Dpse\GA15378	Dpse	FBgn0075397		GA15378	
Dpse\GA19988	Dpse	FBgn0079984		GA19988	
Dpse\GA10237	Dpse	FBgn0070295		GA10237	
Dpse\GA16145	Dpse	FBgn0076161		GA16145	
Dpse\GA14558	Dpse	FBgn0074586		GA14558	
Dpse\GA26350	Dpse	FBgn0247724		GA26350	
Dpse\GA13319	Dpse	FBgn0073356		GA13319	
Dpse\GA12413	Dpse	FBgn0072459		GA12413	
Dpse\GA20858	Dpse	FBgn0080848		GA20858	
Dpse\GA10892	Dpse	FBgn0070948		GA10892	
Dpse\GA26356	Dpse	FBgn0247730		GA26356	
Dpse\GA26355	Dpse	FBgn0247729		GA26355	
Dpse\GA10872	Dpse	FBgn0070928		GA10872	
Dpse\GA10826	Dpse	FBgn0070882		GA10826	
Dpse\GA10858	Dpse	FBgn0070914		GA10858	
Dpse\GA20851	Dpse	FBgn0080841		GA20851	
Dpse\GA11330	Dpse	FBgn0071384		GA11330	
Dpse\GA11446	Dpse	FBgn0071497		GA11446	
Dpse\GA11707	Dpse	FBgn0071757		GA11707	
Dpse\GA10805	Dpse	FBgn0070861		GA10805	
Dpse\GA18270	Dpse	FBgn0078275		GA18270	
Dpse\GA10779	Dpse	FBgn0070835		GA10779	
Dpse\GA26352	Dpse	FBgn0247726		GA26352	
Dpse\GA26353	Dpse	FBgn0247727		GA26353	
Dpse\GA10797	Dpse	FBgn0070853		GA10797	
Dpse\GA26351	Dpse	FBgn0247725		GA26351	
Dpse\GA11300	Dpse	FBgn0071354		GA11300	
Dpse\GA26360	Dpse	FBgn0247734	FBgn0073372,FBgn0073373	GA26360	GA13335,GA13336
Dpse\GA26361	Dpse	FBgn0247735		GA26361	
Dpse\GA10410	Dpse	FBgn0070467		GA10410	
Dpse\GA10419	Dpse	FBgn0070476		GA10419	
Dpse\GA11324	Dpse	FBgn0071378		GA11324	
Dpse\GA14413	Dpse	FBgn0074441		GA14413	
Dpse\GA20956	Dpse	FBgn0080945		GA20956	
Dpse\GA20977	Dpse	FBgn0080966		GA20977	
Dpse\GA26362	Dpse	FBgn0247736		GA26362	
Dpse\GA11302	Dpse	FBgn0071356		GA11302	
Dpse\GA21606	Dpse	FBgn0081591		GA21606	
Dpse\GA26365	Dpse	FBgn0247739		GA26365	
Dpse\GA11785	Dpse	FBgn0071834		GA11785	
Dpse\GA10574	Dpse	FBgn0070631		GA10574	
Dpse\GA18355	Dpse	FBgn0078360		GA18355	
Dpse\GA18274	Dpse	FBgn0078279		GA18274	
Dpse\GA26369	Dpse	FBgn0247743		GA26369	
Dpse\GA11159	Dpse	FBgn0071214		GA11159	
Dpse\GA18312	Dpse	FBgn0078317		GA18312	
Dpse\GA19755	Dpse	FBgn0079751		GA19755	
Dpse\GA19991	Dpse	FBgn0079987		GA19991	
Dpse\GA26370	Dpse	FBgn0247744		GA26370	
Dpse\GA19951	Dpse	FBgn0079947		GA19951	
Dpse\GA19996	Dpse	FBgn0079992		GA19996	
Dpse\GA26372	Dpse	FBgn0247746		GA26372	
Dpse\GA26373	Dpse	FBgn0247747		GA26373	
Dpse\GA14508	Dpse	FBgn0074536		GA14508	
Dpse\GA14973	Dpse	FBgn0074998		GA14973	
Dpse\GA19945	Dpse	FBgn0079941		GA19945	CG6904
Dpse\GA13313	Dpse	FBgn0073350		GA13313	
Dpse\GA16123	Dpse	FBgn0076139		GA16123	
Dpse\GA20792	Dpse	FBgn0080782		GA20792	
Dpse\GA20798	Dpse	FBgn0080788		GA20798	
Dpse\GA13552	Dpse	FBgn0073588		GA13552	
Dpse\GA15357	Dpse	FBgn0075376		GA15357	
Dpse\GA26394	Dpse	FBgn0247768		GA26394	
Dpse\GA14519	Dpse	FBgn0074547		GA14519	
Dpse\GA19875	Dpse	FBgn0079871		GA19875	
Dpse\GA11241	Dpse	FBgn0071295		GA11241	
Dpse\GA11263	Dpse	FBgn0071317		GA11263	
Dpse\GA26377	Dpse	FBgn0247751	FBgn0071318	GA26377	GA11264
Dpse\GA21903	Dpse	FBgn0081888		GA21903	
Dpse\GA17794	Dpse	FBgn0077803		GA17794	CG3944
Dpse\GA15060	Dpse	FBgn0075085		GA15060	
Dpse\GA14299	Dpse	FBgn0074327		GA14299	
Dpse\GA26390	Dpse	FBgn0247764		GA26390	
Dpse\GA26391	Dpse	FBgn0247765		GA26391	
Dpse\GA26380	Dpse	FBgn0247754		GA26380	
Dpse\GA18083	Dpse	FBgn0078091		GA18083	
Dpse\GA26381	Dpse	FBgn0247755		GA26381	
Dpse\GA13314	Dpse	FBgn0073351		GA13314	
Dpse\GA16072	Dpse	FBgn0076088		GA16072	
Dpse\GA18045	Dpse	FBgn0078053		GA18045	
Dpse\Pak1	Dpse	FBgn0070283		GA10224	Pak1
Dpse\GA14170	Dpse	FBgn0074199		GA14170	
Dpse\GA26400	Dpse	FBgn0247774		GA26400	
Dpse\GA26406	Dpse	FBgn0247780		GA26406	
Dpse\GA10209	Dpse	FBgn0070268		GA10209	
Dpse\GA19101	Dpse	FBgn0079099		GA19101	
Dpse\GA26385	Dpse	FBgn0247759		GA26385	
Dpse\GA17703	Dpse	FBgn0077713		GA17703	
Dpse\GA15355	Dpse	FBgn0075374		GA15355	
Dpse\GA26395	Dpse	FBgn0247769	FBgn0071724	GA26395	GA11674
Dpse\GA26396	Dpse	FBgn0247770		GA26396	
Dpse\GA26397	Dpse	FBgn0247771	FBgn0075372,FBgn0071724	GA26397	GA15353,GA11674
Dpse\GA10340	Dpse	FBgn0070398		GA10340	
Dpse\ftz	Dpse	FBgn0012723		GA15204	ftz
Dpse\GA21604	Dpse	FBgn0081590		GA21604	
Dpse\GA26401	Dpse	FBgn0247775		GA26401	
Dpse\GA15158	Dpse	FBgn0075183		GA15158	
Dpse\GA19116	Dpse	FBgn0079114		GA19116	
Dpse\GA19127	Dpse	FBgn0079124		GA19127	
Toll-9	Dmel	FBgn0036978		CG5528	
Dpse\GA15008	Dpse	FBgn0075033		GA15008	
Dpse\GA26405	Dpse	FBgn0247779		GA26405	
Dpse\GA16116	Dpse	FBgn0076132		GA16116	
Dpse\GA15009	Dpse	FBgn0075034		GA15009	
Dpse\GA14486	Dpse	FBgn0074514		GA14486	
Dpse\GA14482	Dpse	FBgn0074510		GA14482	
Dpse\GA19252	Dpse	FBgn0079249		GA19252	
Dpse\GA19259	Dpse	FBgn0079256		GA19259	
Dpse\GA13065	Dpse	FBgn0073103		GA13065	
Dpse\GA20955	Dpse	FBgn0080944		GA20955	
Dpse\GA26412	Dpse	FBgn0247786	FBgn0081431,FBgn0073104	GA26412	GA21444,GA13066
Dpse\GA20996	Dpse	FBgn0080985		GA20996	
Dpse\GA21000	Dpse	FBgn0080989		GA21000	
Dpse\GA21013	Dpse	FBgn0081002		GA21013	
Dpse\GA21035	Dpse	FBgn0081023		GA21035	
Dpse\GA14056	Dpse	FBgn0074087		GA14056	
Dpse\GA16182	Dpse	FBgn0076198		GA16182	
Dpse\GA19386	Dpse	FBgn0079383		GA19386	
Dpse\GA26417	Dpse	FBgn0247791		GA26417	
5.8SrRNA:CR40454	Dmel	FBgn0250731	FBgn0058454,FBgn0085735	CR40454	
Dpse\GA16181	Dpse	FBgn0076197		GA16181	
Dpse\GA26418	Dpse	FBgn0247792		GA26418	
Dpse\GA19396	Dpse	FBgn0079393		GA19396	
Dpse\GA14049	Dpse	FBgn0074080		GA14049	
Dpse\GA18883	Dpse	FBgn0078883		GA18883	
Dpse\GA26424	Dpse	FBgn0247798		GA26424	
Dpse\GA16032	Dpse	FBgn0076048		GA16032	
Dpse\GA19588	Dpse	FBgn0079584		GA19588	
Dpse\GA19595	Dpse	FBgn0079591		GA19595	
Dpse\GA19607	Dpse	FBgn0079603		GA19607	
Dpse\GA26436	Dpse	FBgn0247810		GA26436	
Dpse\GA26430	Dpse	FBgn0247804		GA26430	
Dpse\GA26431	Dpse	FBgn0247805		GA26431	
Dpse\GA26432	Dpse	FBgn0247806		GA26432	
Dpse\GA26433	Dpse	FBgn0247807		GA26433	
Dpse\GA12408	Dpse	FBgn0072454		GA12408	
Dpse\GA12409	Dpse	FBgn0072455		GA12409	
Dpse\GA12410	Dpse	FBgn0072456		GA12410	
Dpse\GA12411	Dpse	FBgn0072457		GA12411	
Dpse\GA19719	Dpse	FBgn0079715		GA19719	
Dpse\GA26435	Dpse	FBgn0247809		GA26435	
Dpse\GA16019	Dpse	FBgn0076035		GA16019	
Dpse\GA16017	Dpse	FBgn0076033		GA16017	
Dpse\GA16015	Dpse	FBgn0076031		GA16015	
Dpse\GA26445	Dpse	FBgn0247819	FBgn0078338,FBgn0078234	GA26445	GA18333,GA18227
Dpse\GA26446	Dpse	FBgn0247820		GA26446	
Dpse\GA17074	Dpse	FBgn0077088		GA17074	
Dpse\GA18262	Dpse	FBgn0078268		GA18262	
Dpse\GA17831	Dpse	FBgn0077840		GA17831	
Dpse\GA15018	Dpse	FBgn0075043		GA15018	
Dpse\GA11117	Dpse	FBgn0071172		GA11117	
Dpse\GA26453	Dpse	FBgn0247827		GA26453	
Dpse\GA16143	Dpse	FBgn0076159		GA16143	
Dpse\GA16100	Dpse	FBgn0076116		GA16100	
Dpse\Or9a	Dpse	FBgn0073671		GA13635	Or9a
Dpse\GA14841	Dpse	FBgn0074868		GA14841	
Dpse\GA26457	Dpse	FBgn0247831		GA26457	
Dpse\GA15233	Dpse	FBgn0075257		GA15233	
Dpse\GA15237	Dpse	FBgn0075261		GA15237	
Dpse\GA15240	Dpse	FBgn0075264		GA15240	
Dpse\GA20770	Dpse	FBgn0080760		GA20770	
Dpse\GA15242	Dpse	FBgn0075266		GA15242	
Dpse\GA15244	Dpse	FBgn0075268		GA15244	
Dpse\GA15512	Dpse	FBgn0075529		GA15512	
Dpse\GA15203	Dpse	FBgn0075228		GA15203	
fab1	Dmel	FBgn0028741		CG6355	
Dpse\GA11068	Dpse	FBgn0071123		GA11068	
Dpse\GA17070	Dpse	FBgn0077084		GA17070	
Dpse\GA20762	Dpse	FBgn0080752		GA20762	
Dpse\GA15429	Dpse	FBgn0075446		GA15429	
Dpse\GA26464	Dpse	FBgn0247838		GA26464	
Dpse\GA21898	Dpse	FBgn0081883		GA21898	
Dpse\GA21895	Dpse	FBgn0081880		GA21895	
Dpse\GA26466	Dpse	FBgn0247840		GA26466	
Dpse\GA17886	Dpse	FBgn0077895		GA17886	
Dpse\GA22013	Dpse	FBgn0081998		GA22013	
Dpse\GA26469	Dpse	FBgn0247843		GA26469	
Dpse\GA16190	Dpse	FBgn0076206		GA16190	
Dpse\GA22017	Dpse	FBgn0082002		GA22017	
Dpse\GA22039	Dpse	FBgn0082023		GA22039	
Dpse\GA26491	Dpse	FBgn0247865		GA26491	
Dpse\GA26493	Dpse	FBgn0247867		GA26493	
Dpse\GA11019	Dpse	FBgn0071075		GA11019	
Dpse\GA13832	Dpse	FBgn0073866		GA13832	
Dpse\GA13830	Dpse	FBgn0073864		GA13830	
Dpse\GA11025	Dpse	FBgn0071081		GA11025	
Dpse\GA26494	Dpse	FBgn0247868		GA26494	
Dpse\GA13829	Dpse	FBgn0073863		GA13829	
Dpse\GA26472	Dpse	FBgn0247846		GA26472	
Dpse\GA15111	Dpse	FBgn0075136		GA15111	
Dpse\GA26473	Dpse	FBgn0247847	FBgn0071549	GA26473	GA11498
Dpse\GA15952	Dpse	FBgn0075968		GA15952	
Dpse\GA15167	Dpse	FBgn0075192		GA15167	
Dpse\GA21672	Dpse	FBgn0081657		GA21672	
Dpse\GA26503	Dpse	FBgn0247877		GA26503	
Dpse\GA26474	Dpse	FBgn0247848		GA26474	
Dpse\GA26475	Dpse	FBgn0247849		GA26475	
Dpse\GA26476	Dpse	FBgn0247850		GA26476	
Dpse\GA14802	Dpse	FBgn0074829		GA14802	
Dpse\GA10553	Dpse	FBgn0070610		GA10553	
Dpse\GA26492	Dpse	FBgn0247866		GA26492	
Dpse\GA26477	Dpse	FBgn0247851		GA26477	
Dpse\GA13833	Dpse	FBgn0073867		GA13833	
Dpse\GA19320	Dpse	FBgn0079317		GA19320	
Dpse\GA12994	Dpse	FBgn0073032		GA12994	
Dpse\GA12265	Dpse	FBgn0072311		GA12265	
Dpse\GA21097	Dpse	FBgn0081085		GA21097	
Dpse\GA16176	Dpse	FBgn0076192		GA16176	
Dpse\GA21112	Dpse	FBgn0081100		GA21112	
Dpse\GA16178	Dpse	FBgn0076194		GA16178	
Dpse\GA21136	Dpse	FBgn0081124		GA21136	
Dpse\GA26480	Dpse	FBgn0247854		GA26480	
Dpse\GA21146	Dpse	FBgn0081134		GA21146	
Dpse\GA26481	Dpse	FBgn0247855		GA26481	
Dpse\GA15163	Dpse	FBgn0075188		GA15163	
Dpse\GA18117	Dpse	FBgn0078125		GA18117	
Dpse\GA26483	Dpse	FBgn0247857	FBgn0073204,FBgn0071435	GA26483	GA13167,GA11381
Dpse\GA26484	Dpse	FBgn0247858	FBgn0071435	GA26484	GA11381
Dpse\GA10693	Dpse	FBgn0070749		GA10693	
Dpse\GA26485	Dpse	FBgn0247859		GA26485	
Dpse\GA14836	Dpse	FBgn0074863		GA14836	
Dpse\GA13168	Dpse	FBgn0073205		GA13168	
Dpse\GA10436	Dpse	FBgn0070493		GA10436	
Dpse\GA26501	Dpse	FBgn0247875		GA26501	
Dpse\GA11059	Dpse	FBgn0071114		GA11059	
Dpse\GA13837	Dpse	FBgn0073871		GA13837	
Dpse\GA11070	Dpse	FBgn0071125		GA11070	
Dpse\GA16326	Dpse	FBgn0076342		GA16326	
Dpse\GA21922	Dpse	FBgn0081907		GA21922	
Dpse\GA11135	Dpse	FBgn0071190		GA11135	
Dpse\GA26497	Dpse	FBgn0247871		GA26497	
Dpse\GA13557	Dpse	FBgn0073593		GA13557	
Dpse\GA14723	Dpse	FBgn0074750		GA14723	
Dpse\GA17281	Dpse	FBgn0077294		GA17281	
